Category,Brand ID,Price in USD,User ID,Gender,Color,type
pendant,1.0,40.96,1.5159156251830024e+18,f,red,fianit
earring,1.0,43.7,1.5159156250631852e+18,f,red,fianit
pendant,1.0,1236.27,1.5159156250786368e+18,f,white,diamond
earring,2.0,757.26,1.5159156252557187e+18,f,red,diamond
earring,1.0,301.23,1.515915625254993e+18,f,white,topaz
earring,1.0,812.29,1.5159156252550198e+18,f,white,diamond
pendant,1.0,109.45,1.5159156251171773e+18,f,red,diamond
pendant,1.0,109.45,1.5159156251414948e+18,f,red,diamond
ring,1.0,712.29,1.5159156252289236e+18,f,yellow,diamond
pendant,0.0,68.36,1.5159156252193475e+18,f,white,topaz
earring,0.0,362.88,1.5159156250692644e+18,f,red,pearl
earring,0.0,342.33,1.5159156250692644e+18,f,white,pearl
ring,1.0,94.78,1.5159156251936563e+18,f,red,fianit
ring,1.0,94.78,1.5159156251936563e+18,f,red,fianit
earring,2.0,349.73,1.5159156251933627e+18,f,red,diamond
earring,2.0,378.49,1.5159156251933627e+18,f,red,diamond
pendant,0.0,205.34,1.5159156251933627e+18,f,white,diamond
ring,1.0,568.36,1.5159156251933627e+18,f,yellow,diamond
earring,1.0,349.18,1.5159156250748718e+18,f,red,pearl
bracelet,1.0,945.07,1.5159156250786368e+18,f,red,emerald
earring,1.0,79.32,1.5159156251601836e+18,f,red,pearl
necklace,1.0,369.73,1.5159156251933627e+18,f,red,pearl
ring,1.0,445.07,1.5159156252163763e+18,f,red,diamond
earring,1.0,2534.11,1.5159156252163763e+18,f,red,diamond
earring,0.0,177.95,1.515915625102418e+18,f,white,fianit
pendant,1.0,239.59,1.515915625192773e+18,f,white,diamond
ring,0.0,636.85,1.481116091374634e+18,f,red,diamond
pendant,1.0,95.75,1.5159156251601047e+18,f,red,fianit
ring,1.0,157.4,1.5159156250786368e+18,f,white,diamond
earring,0.0,177.95,1.515915625102418e+18,f,white,fianit
earring,1.0,320.96,1.515915625102418e+18,f,white,diamond
pendant,0.0,68.36,1.5159156252561818e+18,f,red,garnet
earring,1.0,43.7,1.5159156250631852e+18,f,red,fianit
ring,0.0,308.08,1.5159156250631852e+18,f,red,sapphire
ring,1.0,527.26,1.515915625045005e+18,f,white,diamond
bracelet,0.0,1195.75,1.3146716590928046e+18,f,red,fianit
earring,1.0,410.82,1.5159156252444582e+18,f,red,pearl
pendant,2.0,364.11,1.51591562525646e+18,f,red,diamond
ring,2.0,123.29,1.5159156252444582e+18,f,red,pearl
pendant,2.0,82.05,1.5159156251768003e+18,f,red,topaz
earring,2.0,225.89,1.5159156251768003e+18,f,red,topaz
ring,2.0,116.3,1.5159156251768003e+18,f,red,topaz
ring,1.0,716.4,1.5159156255167196e+18,f,white,diamond
earring,0.0,325.89,1.3146716590928046e+18,f,red,fianit
earring,1.0,465.62,1.5159156252489992e+18,f,white,diamond
earring,1.0,812.29,1.5159156252489992e+18,f,white,diamond
earring,1.0,335.48,1.4963294402573773e+18,f,white,diamond
ring,2.0,300.0,1.3332794930154708e+18,f,red,amethyst
earring,1.0,167.78,1.5159156251960804e+18,f,red,garnet
earring,2.0,287.53,1.5159156251960804e+18,f,red,garnet
earring,0.0,266.99,1.5159156251936563e+18,f,red,ruby
earring,1.0,630.0,1.5159156252368625e+18,f,red,diamond
ring,1.0,575.21,1.5506129490794255e+18,f,red,diamond
pendant,1.0,390.27,1.5159156252559593e+18,f,red,diamond
earring,0.0,342.33,1.3208563340101558e+18,f,red,chrysolite
earring,1.0,108.08,1.5159156251562693e+18,f,red,fianit
ring,0.0,491.64,1.5159156252517138e+18,f,white,fianit
earring,2.0,838.77,1.5159156252127992e+18,f,red,diamond
earring,2.0,95.75,1.5159156250786368e+18,f,red,diamond
ring,1.0,500.66,1.5159156255167196e+18,f,white,diamond
pendant,2.0,116.3,1.5159156255167196e+18,f,red,diamond
earring,0.0,480.79,1.5159156251600924e+18,f,red,sapphire
earring,1.0,2000.66,1.515915625206403e+18,f,red,diamond
pendant,1.0,768.22,1.515915625206403e+18,f,red,diamond
pendant,1.0,980.64,1.515915625206403e+18,f,red,diamond
ring,1.0,1321.88,1.515915625206403e+18,f,red,diamond
earring,1.0,1547.1,1.515915625206403e+18,f,red,diamond
ring,1.0,212.19,1.5159156250895672e+18,f,red,topaz
ring,1.0,184.79,1.5159156250687002e+18,f,red,fianit
earring,0.0,208.08,1.5159156251600924e+18,f,red,fianit
ring,0.0,134.11,1.5159156252164733e+18,f,red,fianit
ring,0.0,246.44,1.515915625241294e+18,f,red,quartz
pendant,0.0,82.05,1.5159156251600924e+18,f,red,pearl
ring,1.0,266.99,1.515915625147497e+18,f,red,topaz
earring,1.0,430.97,1.515915625147497e+18,f,red,topaz
ring,1.0,102.7,1.5159156251350656e+18,f,white,diamond
bracelet,1.0,1328.63,1.4862499061495242e+18,f,red,amber
earring,1.0,184.79,1.4862499061495242e+18,f,white,topaz
pendant,0.0,157.4,1.5159156251932503e+18,f,red,pearl
pendant,0.0,66.99,1.4963294402573773e+18,f,red,fianit
ring,0.0,491.64,1.5159156252517138e+18,f,white,fianit
earring,0.0,157.4,1.5159156251684337e+18,f,red,pearl
earring,0.0,208.08,1.5159156251502743e+18,f,red,fianit
ring,2.0,507.95,1.5159156251933627e+18,f,red,diamond
earring,2.0,694.93,1.5159156251933627e+18,f,red,diamond
earring,2.0,95.75,1.5159156252190697e+18,f,red,diamond
earring,0.0,219.04,1.4963294402573773e+18,f,red,sapphire
ring,1.0,136.85,1.5159156251350656e+18,f,yellow,quartz_smoky
earring,1.0,239.59,1.5159156251960804e+18,f,red,amethyst
bracelet,2.0,875.3,1.5159156252489992e+18,f,red,diamond
earring,2.0,194.52,1.515915625227404e+18,f,red,topaz
ring,1.0,198.49,1.5159156251338276e+18,f,red,diamond
ring,0.0,376.58,1.515915625241294e+18,f,red,quartz
earring,0.0,609.45,1.515915625241294e+18,f,red,quartz
ring,1.0,266.99,1.515915625241294e+18,f,yellow,mix
ring,0.0,308.08,1.515915625241294e+18,f,red,quartz
earring,0.0,77.95,1.515915625256366e+18,f,red,fianit
earring,0.0,273.84,1.5506129490794255e+18,f,red,diamond
earring,0.0,77.95,1.515915625256366e+18,f,red,fianit
earring,1.0,69.73,1.515915625256366e+18,f,red,fianit
ring,0.0,376.58,1.5159156251990615e+18,f,red,quartz
pendant,0.0,266.99,1.5159156252369103e+18,f,red,quartz
earring,2.0,718.9,1.51591562515599e+18,f,red,diamond
earring,1.0,260.14,1.5159156252584366e+18,f,red,diamond
earring,0.0,157.4,1.5159156250345152e+18,f,red,pearl
earring,0.0,83.42,1.5159156252127992e+18,f,white,fianit
earring,1.0,124.62,1.5159156252584274e+18,f,red,topaz
ring,0.0,403.97,1.5159156250786368e+18,f,white,diamond
ring,0.0,403.97,1.5159156250786368e+18,f,white,diamond
ring,1.0,242.42,1.5159156250895672e+18,f,yellow,amethyst
earring,1.0,493.01,1.5159156250895672e+18,f,yellow,amethyst
pendant,2.0,171.1,1.5159156252489992e+18,f,red,diamond
ring,0.0,376.58,1.515915625192773e+18,f,red,quartz
ring,0.0,521.78,1.5159156252085763e+18,f,red,fianit
earring,0.0,609.45,1.5159156251933627e+18,f,red,quartz
necklace,1.0,198.49,1.5159156252297626e+18,f,red,topaz
earring,1.0,1162.99,1.5159156252268506e+18,f,yellow,diamond
ring,1.0,647.42,1.5159156252268506e+18,f,yellow,diamond
ring,1.0,458.77,1.515915625130659e+18,f,white,diamond
ring,1.0,458.77,1.515915625130659e+18,f,white,diamond
ring,1.0,71.1,1.5159156250698714e+18,f,red,fianit
ring,1.0,116.3,1.5159156250451197e+18,f,yellow,garnet
ring,1.0,280.68,1.5159156252289236e+18,f,white,topaz
earring,1.0,302.6,1.5159156251671647e+18,f,red,fianit
earring,0.0,157.4,1.515915625170536e+18,f,red,pearl
earring,2.0,349.73,1.5159156250451197e+18,f,red,diamond
ring,2.0,311.37,1.5159156250451197e+18,f,red,diamond
pendant,1.0,602.6,1.5159156252136934e+18,f,red,topaz
necklace,1.0,294.38,1.3139873704748e+18,f,red,pearl
ring,2.0,116.3,1.5159156250687002e+18,f,red,garnet
ring,1.0,191.64,1.515915625156189e+18,f,red,diamond
earring,0.0,102.6,1.5159156252223524e+18,f,red,fianit
bracelet,0.0,1195.75,1.5412352418200947e+18,f,red,fianit
necklace,1.0,369.73,1.5159156250687002e+18,f,red,pearl
pendant,2.0,130.0,1.5159156252268506e+18,f,red,diamond
pendant,2.0,116.3,1.5159156252268506e+18,f,red,diamond
pendant,2.0,82.05,1.515915625260291e+18,f,red,pearl
ring,0.0,1027.26,1.515915625245643e+18,f,red,diamond
earring,1.0,212.19,1.515915625171047e+18,f,white,sapphire
earring,0.0,568.36,1.5159156251925906e+18,f,white,diamond
ring,2.0,507.95,1.5506129490794255e+18,f,red,diamond
ring,0.0,138.22,1.5159156252289236e+18,f,white,fianit
electronics.clocks,6.0,599.32,1.5159156252489992e+18,f,red,fianit
electronics.clocks,2.0,1140.96,1.5159156252489992e+18,f,red,fianit
ring,1.0,71.1,1.515915625233908e+18,f,red,fianit
ring,1.0,150.55,1.515915625150252e+18,f,white,diamond
ring,0.0,1020.41,1.5159156252127992e+18,f,white,diamond
ring,1.0,116.3,1.5159156251933627e+18,f,yellow,garnet
earring,1.0,273.84,1.3139873704748e+18,f,red,diamond
ring,2.0,643.7,1.5159156252489992e+18,m,red,diamond
pendant,1.0,107.51,1.51591562519287e+18,f,red,garnet
pendant,1.0,239.59,1.5159156252268506e+18,f,white,diamond
earring,1.0,787.53,1.5159156252268506e+18,f,white,diamond
ring,0.0,521.78,1.5159156251562427e+18,f,red,fianit
ring,0.0,325.89,1.5159156251562427e+18,f,red,fianit
ring,0.0,521.78,1.5159156251562427e+18,f,red,fianit
ring,1.0,97.22,1.5159156251878769e+18,f,red,mix
ring,2.0,57.49,1.5159156251878769e+18,f,red,mix
earring,1.0,228.74,1.515915625257042e+18,f,white,diamond
ring,0.0,521.78,1.515915625198353e+18,f,red,fianit
necklace,2.0,184.79,1.3139873704748e+18,f,red,diamond
ring,2.0,328.63,1.515915625229389e+18,f,red,diamond
earring,1.0,349.19,1.5159156250329592e+18,f,red,diamond
ring,1.0,308.08,1.5159156250329592e+18,f,red,diamond
earring,1.0,436.85,1.5412352418200947e+18,f,red,fianit
ring,1.0,428.05,1.5159156250786368e+18,f,red,diamond
pendant,1.0,40.96,1.5159156252192914e+18,f,red,fianit
ring,1.0,247.58,1.515915625241294e+18,f,yellow,topaz
ring,2.0,507.95,1.5159156252127992e+18,f,red,diamond
bracelet,1.0,2082.56,1.5159156252268506e+18,f,red,diamond
earring,1.0,486.16,1.515915625187876e+18,f,red,diamond
pendant,1.0,802.7,1.515915625261239e+18,f,white,diamond
ring,0.0,316.3,1.5159156252612183e+18,f,white,fianit
ring,1.0,1733.4,1.515915625193085e+18,f,white,diamond
necklace,1.0,266.99,1.5412352418200947e+18,f,red,pearl
ring,0.0,138.22,1.5159156252612183e+18,f,white,fianit
ring,0.0,316.3,1.5159156252612183e+18,f,white,fianit
ring,1.0,82.05,1.5159156251963215e+18,f,red,topaz
ring,1.0,716.4,1.5159156252366548e+18,f,white,diamond
bracelet,1.0,1328.63,1.5159156251428124e+18,f,red,amber
ring,2.0,186.3,1.5159156250786368e+18,f,red,topaz
necklace,1.0,266.99,1.5159156250687002e+18,f,red,pearl
earring,2.0,308.08,1.515915625261239e+18,f,white,diamond
pendant,1.0,109.45,1.515915625160173e+18,f,red,fianit
ring,2.0,116.3,1.515915625160173e+18,f,red,topaz
pendant,1.0,91.64,1.515915625160173e+18,f,red,fianit
ring,1.0,225.89,1.5159156251925906e+18,f,red,topaz
ring,1.0,284.77,1.5159156250786368e+18,f,red,diamond
earring,1.0,856.03,1.5159156252127992e+18,f,white,diamond
ring,0.0,1020.41,1.5159156251835935e+18,f,white,diamond
ring,1.0,554.66,1.5159156251835935e+18,f,white,diamond
ring,1.0,175.21,1.5159156250889554e+18,f,red,fianit
earring,1.0,177.95,1.5159156251934083e+18,f,red,diamond
earring,2.0,308.08,1.515915625218916e+18,f,red,amethyst
ring,2.0,300.0,1.515915625218916e+18,f,red,amethyst
ring,1.0,142.33,1.515915625204153e+18,f,red,fianit
ring,1.0,142.33,1.515915625204153e+18,f,red,fianit
ring,0.0,491.64,1.5159156252517138e+18,f,white,fianit
necklace,1.0,198.49,1.5159156251933627e+18,f,red,topaz
earring,0.0,335.48,1.5159156251601836e+18,f,red,quartz
pendant,0.0,123.15,1.5159156251601836e+18,f,red,quartz
ring,0.0,246.44,1.5159156251601836e+18,f,red,quartz
pendant,0.0,314.93,1.5159156252489992e+18,f,white,diamond
ring,1.0,114.93,1.5159156252489992e+18,f,red,fianit
ring,0.0,246.44,1.5159156251933627e+18,f,red,quartz
earring,2.0,116.3,1.515915625242442e+18,f,red,topaz
ring,1.0,568.36,1.460110627920937e+18,f,yellow,diamond
ring,0.0,138.22,1.5028565314172362e+18,f,red,fianit
earring,1.0,147.81,1.5159156252578726e+18,f,red,fianit
earring,1.0,171.1,1.5159156251562598e+18,f,red,topaz
